City_ID,City,Country,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Atasu,KZ,48.6814,71.6433,34.12,45,13,8.28,few clouds
238,Viedma,AR,-40.8135,-62.9967,52.02,88,62,10.76,broken clouds
239,Berlevag,NO,70.8578,29.0864,42.6,87,11,10.36,few clouds
240,Lexington Park,US,38.2668,-76.4538,53.28,93,100,20.71,mist
241,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.55,80,39,6.67,scattered clouds
242,Marzuq,YE,14.4,46.4667,72.07,48,62,2.28,broken clouds
243,Castro,BR,-24.7911,-50.0119,55.58,98,12,5.77,few clouds
244,Nelson Bay,AU,-32.7167,152.15,64.0,94,100,20.0,light rain
245,Anadyr,RU,64.75,177.4833,34.3,74,75,17.0,broken clouds
246,Araouane,ML,18.9048,-3.5265,90.5,13,1,4.47,clear sky
247,Half Moon Bay,US,37.4636,-122.4286,70.88,80,100,8.05,mist
248,Sangar,RU,63.9242,127.4739,27.59,61,37,11.32,scattered clouds
249,Parana,AR,-31.732,-60.5238,65.57,53,2,12.01,clear sky
250,Waingapu,ID,-9.6567,120.2641,86.0,64,35,7.76,scattered clouds
251,Ketchikan,US,55.3422,-131.6461,55.87,76,100,5.75,overcast clouds
252,Balkhash,KZ,46.844,74.9804,38.01,44,0,20.13,clear sky
253,Kargasok,RU,59.0556,80.8572,39.2,93,100,7.56,overcast clouds
254,Vardo,NO,70.3705,31.1107,44.58,76,100,9.22,overcast clouds
255,Georgetown,MY,5.4112,100.3354,82.89,84,20,1.14,few clouds
256,Hirara,JP,24.8,125.2833,82.27,73,0,12.08,clear sky
257,Stromness,GB,58.965,-3.296,49.96,83,100,25.01,moderate rain
258,Farmington,US,36.7281,-108.2187,63.28,54,0,4.61,clear sky
259,Kharan,PK,28.5833,65.4167,73.02,12,0,3.29,clear sky
260,Bambous Virieux,MU,-20.3428,57.7575,67.21,72,89,10.87,overcast clouds
261,Hemsedal,NO,60.8629,8.5534,48.33,86,85,5.12,overcast clouds
262,Nalut,LY,30.3333,10.85,69.67,49,25,12.17,scattered clouds
263,Sturgeon Bay,US,44.8342,-87.377,60.78,77,0,5.75,clear sky
264,Dali,CN,25.7,100.1833,63.9,89,98,4.21,overcast clouds
265,Ambilobe,MG,-13.2,49.05,63.61,84,8,3.6,clear sky
266,Lodhran,PK,29.5405,71.6336,79.41,39,0,4.36,clear sky
267,Surskoye,RU,54.4821,46.7214,44.78,85,100,3.0,overcast clouds
268,Zhob,PK,31.3411,69.4481,68.58,32,0,3.4,clear sky
269,San Jeronimo,PE,-11.9472,-75.2829,49.55,87,100,6.55,overcast clouds
270,Goderich,CA,43.7501,-81.7165,56.55,58,9,4.94,clear sky
271,Husavik,IS,66.0449,-17.3389,40.84,98,100,20.69,overcast clouds
272,Hasaki,JP,35.7333,140.8333,72.28,80,100,23.94,light rain
273,Coihaique,CL,-45.5752,-72.0662,41.36,97,66,6.64,broken clouds
274,Amga,RU,60.8953,131.9608,28.69,61,98,11.77,overcast clouds
275,Alyangula,AU,-13.8483,136.4192,85.53,64,17,12.48,few clouds
276,Moron,AR,-34.6534,-58.6198,62.35,89,6,6.44,clear sky
277,Klaksvik,FO,62.2266,-6.589,49.12,83,3,37.47,light rain
278,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,44,0,6.91,clear sky
279,San Patricio,US,28.017,-97.5169,77.54,58,8,7.52,clear sky
280,Lazaro Cardenas,MX,17.9583,-102.2,79.56,83,76,4.83,broken clouds
281,Maragogi,BR,-9.0122,-35.2225,74.28,80,54,6.91,broken clouds
282,Champerico,GT,14.3,-91.9167,80.96,75,100,5.06,overcast clouds
283,Ponta Delgada,PT,37.7333,-25.6667,70.5,77,20,5.75,few clouds
284,Khorixas,NA,-20.3667,14.9667,63.54,31,0,2.21,clear sky
285,Karatau,KZ,43.1667,70.4667,43.59,46,0,4.85,clear sky
286,Tamandare,BR,-8.7597,-35.1047,74.28,81,23,5.79,few clouds
287,Le Port,RE,-20.9373,55.2919,68.0,76,0,6.31,clear sky
288,Derzhavinsk,KZ,51.1,66.3167,39.67,35,6,6.4,clear sky
289,Vestmannaeyjar,IS,63.4427,-20.2734,42.84,76,100,33.11,overcast clouds
290,Guozhen,CN,34.3659,107.359,48.92,97,100,2.77,overcast clouds
291,Jardim,BR,-21.4803,-56.1381,74.32,60,2,4.29,clear sky
292,Luganville,VU,-15.5333,167.1667,80.56,79,61,12.03,broken clouds
293,Quincy,US,42.2529,-71.0023,57.63,95,100,17.27,mist
294,Barbalha,BR,-7.3111,-39.3042,75.36,36,18,3.58,few clouds
295,San Quintin,MX,30.4833,-115.95,69.37,84,38,9.44,scattered clouds
296,Maneromango,TZ,-7.1988,38.7848,68.61,82,86,3.62,overcast clouds
297,Jalingo,NG,8.8833,11.3667,72.66,95,98,2.28,overcast clouds
298,Mersing,MY,2.4312,103.8405,81.19,77,100,6.15,moderate rain
299,Yumen,CN,40.2833,97.2,48.74,31,29,2.95,scattered clouds
300,Skjervoy,NO,70.0311,20.9714,48.2,73,100,18.77,overcast clouds
301,Ugoofaaru,MV,5.6667,73.0,81.46,77,100,15.21,overcast clouds
302,Show Low,US,34.2542,-110.0298,53.89,77,0,6.91,clear sky
303,Nanyang,CN,32.9947,112.5328,45.7,88,100,14.5,overcast clouds
304,Mount Isa,AU,-20.7333,139.5,80.37,61,100,10.36,overcast clouds
305,Grakhovo,RU,56.0502,51.9676,44.76,69,100,10.36,overcast clouds
306,Mandalgovi,MN,45.7625,106.2708,33.93,27,79,1.03,broken clouds
307,Labrea,BR,-7.2586,-64.7981,78.08,69,85,2.55,overcast clouds
308,Omsukchan,RU,62.5333,155.8,21.24,94,100,11.54,light snow
309,Necochea,AR,-38.5473,-58.7368,49.39,80,49,13.76,scattered clouds
310,Sumbe,AO,-11.2061,13.8437,71.94,88,92,7.16,overcast clouds
311,Grand Forks,US,47.9417,-97.4337,60.53,94,75,5.75,broken clouds
312,Luderitz,NA,-26.6481,15.1594,53.69,82,6,16.78,clear sky
313,Asyut,EG,27.181,31.1837,73.87,45,0,7.7,clear sky
314,Bintulu,MY,3.1667,113.0333,74.46,96,100,5.19,overcast clouds
315,Adrar,MR,20.5022,-10.0711,90.28,17,39,10.2,scattered clouds
